Fecha,Hora,Fecha y hora,Volumen (ml),Temperatura (°C),Humedad (%),Contexto Adicional
2026-03-24,14:30,2026-03-24 14:30,175,22,35.00%,
2026-03-24,15:30,2026-03-24 15:30,200,22,39.00%,
2026-03-24,19:00,2026-03-24 19:00,350,21,46.00%,Merienda
2026-03-24,20:45,2026-03-24 20:45,275,19,51.00%,
2026-03-24,23:00,2026-03-24 23:00,420,18,61.00%,Cena
2026-03-25,6:15,2026-03-25 06:15,275,16,64.00%,
2026-03-25,7:15,2026-03-25 07:15,350,17,61.00%,Desayuno
2026-03-25,14:00,2026-03-25 14:00,500,22,41.00%,Almuerzo
2026-03-25,14:40,2026-03-25 14:40,280,22,41.00%,
2026-03-25,15:19,2026-03-25 15:19,350,23,40.00%,
2026-03-25,17:10,2026-03-25 17:10,300,23,40.00%,
2026-03-25,17:55,2026-03-25 17:55,475,22,43.00%,Merienda
2026-03-25,21:50,2026-03-25 21:50,450,20,57.00%,Cena
2026-03-25,23:00,2026-03-25 23:00,150,19,61.00%,
2026-03-26,11:45,2026-03-26 11:45,325,22,54.00%,Desayuno
2026-03-26,13:30,2026-03-26 13:30,350,23,49.00%,
2026-03-26,15:45,2026-03-26 15:45,350,23,48.00%,
2026-03-26,18:16,2026-03-26 18:16,475,22,55.00%,Merienda
2026-03-26,22:26,2026-03-26 22:26,600,21,77.00%,Cena
2026-03-26,23:55,2026-03-26 23:55,250,21,81.00%,
2026-03-27,12:00,2026-03-27 12:00,550,23,74.00%,Desayuno
2026-03-27,14:30,2026-03-27 14:30,800,23,76.00%,Gimnasio
2026-03-27,15:30,2026-03-27 15:30,500,23,75.00%,Almuerzo
2026-03-27,16:45,2026-03-27 16:45,300,23,75.00%,
2026-03-27,18:30,2026-03-27 18:30,575,22,78.00%,Merienda
2026-03-27,23:00,2026-03-27 23:00,470,22,92.00%,Cena
2026-03-27,23:55,2026-03-27 23:55,350,22,90.00%,
2026-03-28,12:45,2026-03-28 12:45,350,23,91.00%,Desayuno
2026-03-28,14:00,2026-03-28 14:00,1000,24,89.00%,Gimnasio
2026-03-28,16:00,2026-03-28 16:00,450,24,86.00%,Almuerzo
2026-03-28,17:20,2026-03-28 17:20,225,24,86.00%,
2026-03-28,19:00,2026-03-28 19:00,350,23,90.00%,Merienda
2026-03-28,20:30,2026-03-28 20:30,175,23,91.00%,
2026-03-28,23:00,2026-03-28 23:00,780,23,92.00%,Cena
